ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
153152,Stochastic algorithms : Foundations and applications,"Lupanov, Oleg B. ",Sách in,"518.1   
/ S864 
","New York: Springer, c2005",Algorithms; Stochastic approximation; Computer science; Thuật toán; Phép tính xấp xỉ; Khoa học máy tính
153176,Computational intelligence : An introduction,"Engelbrecht, Andries P.
",Sách in,"006.3   
/ E57 
","Hoboken, NJ.: John Wiley & Sons, c2007",Computational intelligence; Neural networks (Computer science); Evolutionary programming (Computer science); Trí thông minh của máy tính; Mạng máy tính; Chương trình phát triển (khoa học máy tính)
153580,Concept data analysis : Theory and applications,"Romano, Giovanni ",Sách in,"004.0151   
/ C298 
","Chichester, England: Wiley, c2004",Computer science; Machine learning; Information retrieval; Phục hồi thông tin; Khoa học máy tính; Học của máy
258675,Decision support systems and intelligent systems,"Liang, Ting  - Peng
",Sách in,"658.4030285   
/ T931 
","Upper Saddle River, NJ: Prentice Hall, c2005",Management; Decision support systems; Expert systems (Computer science); Hệ chuyên gia (Khoa học máy tính); Hệ thống hỗ trợ ra quyết định; Quản lý
272293,Arithmétique des ordinateurs : Opérateurs et fonctions élémentaires,"Cosnard, M.  - Préf. du
",Sách in,"005.101   
/ M958 
","Paris: Masson, 1989",Thuật toán và cấu trúc khoa học máy tính bậc cao; Algorithms and architectures for advanced scientific computing
162780,UPC : Distributed shared memory programming,"El  - Ghazawi, Tarek
",Sách in,"005.133   
/ U65 
","Hoboken, NJ: Wiley, 2005",UPC (Computer program language); Parallel programming (Computer science); Ngôn ngữ lập trình máy tính; Lập trình song song (Khoa học máy tính)
262612,UML et les design patterns,"Burr, Emmanuelle - Traduction ;  
Baland, Marie - Cécile ;  
Carité, Luc  - Traduction
",Sách in,"005.117   
/ L324 
","Paris: Pearson education, 2005",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
272441,Giáo trình cấu trúc dữ liệu và giải thuật : (Sách dùng cho các trường đào tạo hệ Trung học chuyên nghiệp),"Đỗ, Xuân Lôi
",Sách in,"005.73   
/ L452 
","Hà Nội: Giáo dục, 2005",Cấu trúc dữ liệu (khoa học máy tính); Data structures (computer science)
272454,Hướng dẫn học nhanh máy vi tính phòng chống Virút,"Trần, Văn Thắng
",Sách in,"005.84   
/ Th116 
","Thành phố Hồ Chí Minh: Tổng hợp Thành phố Hồ Chí Minh, 2005",Vi rút máy tính; Khoa học máy tính; Computer viruses; Science computer
138312,An introduction to object-oriented programming with Java,"Wu, C. Thomas
",Sách in,"005.133   
/ W959 
","Boston: McGraw-Hill, 2006",Object-oriented programming (Computer science); Java (Computer program language); Java (Ngôn ngữ lập trình máy tính); Lập trình hướng đối tượng (Khoa học máy tính)
153093,A statistical approach to neural networks for pattern recognition,"Dunne, Robert A.
",Sách in,"006.32   
/ D923 
","Hoboken, N.J.: Wiley, 2007",Mạng thần kinh nhân tạo; Mạng thần kinh (Khoa học máy tính); Perceptrons; Neural networks (Computer science)
153236,Data modeling fundamentals : A practical guide for IT professionals,"Ponniah, Paulraj
",Sách in,"005.74   
/ P792 
","Hoboken, N.J.: Wiley-Interscience, 2007",Cấu trúc dữ liệu (khoa học máy tính); Database design; Data structures (Computer science); Thiết kế cơ sở dữ liệu
